climactor_id,plan_type,plan_name,plan_adopted_year,plan_end_year,plan_boundary,plan_boundary_desc,plan_url,plan_comments,datasource_id
4bfe37eae9036299,Mitigation,,2015.0,2030.0,Same,Boundary same as jurisdiction,https://atlantaclimateactionplan.files.wordpress.com/2016/02/atlanta-climate-action-plan-07-23-2015.pdfhttpNAhttpNA,"The City of Atlanta with partnership of Georgia Tech has completed a 2019 GHG Emissions Inventory and planning for a net zero goal corresponding with an updated comprehensive climate action plan to include all relevant energy, resilience, and climate updated goals, as well as strategies, recommended policies, and programs to achieve interconnected goals and update previous targets.  The total costs around staff time and costs for programs, resources, etc. to progress climate action goals is estimated at 300,000,000 across all climate related efforts.https://static1.squarespace.com/static/5f91d62189677674f6d02ab6/t/5f91e88080fdee7a2aa54f7d/1603397764189/nrdc_100ce_plan_021319_v8_low-res.pdf",CDP Cities 2024
4bfe37eae9036299,Energy,Clean Energy Plan: A Vision for a 100% Clean Energy Future,2019.0,2035.0,Same,Boundary same as jurisdiction,https://atlantaclimateactionplan.files.wordpress.com/2016/02/atlanta-climate-action-plan-07-23-2015.pdfhttpNAhttpNA,"A main focus for Atlanta has been on the energy sector, which is a large contributor to the GHG Emissions portfolio. The interim targets include: 10% clean energy by 2020, 30% clean energy by 2025, 50% clean energy by 2030. The target for 100% clean energy has been set to 2035 community-wide. Lastly, this plan has a process in place to be updated every 3 years and is driven by a diverse localized stakeholder group, the Clean Energy Advisory Board. Find the Clean Energy Plan here: https://static1.squarespace.com/static/5f91d62189677674f6d02ab6/t/5f91e88080fdee7a2aa54f7d/1603397764189/nrdc_100ce_plan_021319_v8_low-res.pdf https://www.100atl.com/",CDP Cities 2024
4bfe37eae9036299,Adaptation,Resilient Atlanta: Atlanta's Resilience Strategy - Actions to Build an Equitable Future,2019.0,2023.0,Same,Boundary same as jurisdiction,https://atlantaclimateactionplan.files.wordpress.com/2016/02/atlanta-climate-action-plan-07-23-2015.pdfhttpNAhttpNA,Find the Atlanta Resilience Strategy here: https://resilientcitiesnetwork.org/downloadable_resources/Network/Atlanta-Resilience-Strategy-English.pdf,CDP Cities 2024
abf783703f5f26e7,Integrated,,2021.0,2025.0,Same,Boundary same as jurisdiction,https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate%20Equity%20Plan/Climate%20Plan%20Full%20Document__FINAL.pdf,,CDP Cities 2024
c683691dbadf5ef2,Mitigation,,2011.0,,Same,Boundary same as jurisdiction,http://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdfhttps://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/climate_plan_maig.pdfhttps://www.barcelona.cat/emergenciaclimatica/sites/default/files/2020-01/Climate_Emergency_Declaration.pdfhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/123712,,CDP Cities 2024
c683691dbadf5ef2,Integrated,,2018.0,2030.0,Same,Boundary same as jurisdiction,http://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdfhttps://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/climate_plan_maig.pdfhttps://www.barcelona.cat/emergenciaclimatica/sites/default/files/2020-01/Climate_Emergency_Declaration.pdfhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/123712,,CDP Cities 2024
c683691dbadf5ef2,Mitigation,,2020.0,2030.0,Same,Boundary same as jurisdiction,http://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdfhttps://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/climate_plan_maig.pdfhttps://www.barcelona.cat/emergenciaclimatica/sites/default/files/2020-01/Climate_Emergency_Declaration.pdfhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/123712,,CDP Cities 2024
c683691dbadf5ef2,Integrated,,2021.0,2030.0,Same,Boundary same as jurisdiction,http://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdfhttps://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/climate_plan_maig.pdfhttps://www.barcelona.cat/emergenciaclimatica/sites/default/files/2020-01/Climate_Emergency_Declaration.pdfhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/123712,It adds measures and more ambitious goals of Climate Emergency Declaration to the former Climate Plan,CDP Cities 2024
d7a7a2086086e11e,Mitigation,,2021.0,2025.0,Same,Boundary same as jurisdiction,https://www.birmingham.gov.uk/downloads/file/18618/route_to_zero_action_plan_-_call_to_actionhttps://naturallybirmingham.files.wordpress.com/2022/06/city-of-nature-may-2022-print.pdfhttp://birminghamtreepeople.org.uk/birminghams-urban-forest-master-plan/,"Completed by interim R20 Team.  The R20 taskforce was involved in the creation of the plan. The taskforce included representatives from a variety of backgrounds including faith groups and community groups. No current plans for evaluation and review - however this will come in time. We are currently in the middle of completely changing the covernance around climate change within the council. We are seeking the programme to become its own transformation programme, which gives the agenda a higher profile and gives the team more power and control over matters such as the action plan. The plan has been in place 18 months but an evaluation is anticipated before the 5 year mark. This action plan was reported against in 2022 (https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/12424/Committee/39/SelectedTab/Documents/Default.aspx)  and again in 2023 (https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/12804/Committee/39/SelectedTab/Documents/Default.aspx)",CDP Cities 2024
d7a7a2086086e11e,Adaptation,City of Nature Plan:,2022.0,2047.0,Same,Boundary same as jurisdiction,https://www.birmingham.gov.uk/downloads/file/18618/route_to_zero_action_plan_-_call_to_actionhttps://naturallybirmingham.files.wordpress.com/2022/06/city-of-nature-may-2022-print.pdfhttp://birminghamtreepeople.org.uk/birminghams-urban-forest-master-plan/,Plan only just adopted so monitoring and update process not yet established. Cost of implementation not yet identified for length of the plan.,CDP Cities 2024
